STATE,STATENAME,YEAR,ROUTENAME,RUR_URBNAME,FUNC_SYSNAME,RD_OWNERNAME,TYP_INTNAME
1,Alabama,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
1,Alabama,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
1,Alabama,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
1,Alabama,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
1,Alabama,2021,Interstate,Rural,Interstate,State Highway Agency,Not an Intersection
1,Alabama,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
1,Alabama,2021,Interstate,Rural,Interstate,State Highway Agency,Not an Intersection
1,Alabama,2021,State Highway,Urban,Principal Arterial - Other,State Highway Agency,Four-Way Intersection
1,Alabama,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
1,Alabama,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
1,Alabama,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
1,Alabama,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
1,Alabama,2021,Interstate,Urban,Interstate,State Highway Agency,Not an Intersection
1,Alabama,2021,State Highway,Urban,Principal Arterial - Other,State Highway Agency,Not an Intersection
1,Alabama,2021,County Road,Urban,Local,County Highway Agency,Not an Intersection
1,Alabama,2021,County Road,Urban,Minor Arterial,County Highway Agency,Not an Intersection
1,Alabama,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
1,Alabama,2021,U.S. Highway,Rural,Principal Arterial - Other,State Highway Agency,Not an Intersection
1,Alabama,2021,State Highway,Rural,Minor Arterial,State Highway Agency,Not an Intersection
1,Alabama,2021,Local Street - Municipality,Urban,Principal Arterial - Other,State Highway Agency,Not an Intersection
1,Alabama,2021,State Highway,Urban,Minor Arterial,State Highway Agency,Not an Intersection
1,Alabama,2021,Local Street - Municipality,Urban,Principal Arterial - Other,State Highway Agency,Four-Way Intersection
1,Alabama,2021,County Road,Rural,Major Collector,County Highway Agency,Not an Intersection
1,Alabama,2021,County Road,Rural,Major Collector,County Highway Agency,Not an Intersection
1,Alabama,2021,County Road,Rural,Major Collector,County Highway Agency,Four-Way Intersection
1,Alabama,2021,U.S. Highway,Urban,Major Collector,State Highway Agency,Four-Way Intersection
1,Alabama,2021,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,Four-Way Intersection
1,Alabama,2021,State Highway,Urban,Minor Arterial,State Highway Agency,Four-Way Intersection
1,Alabama,2021,State Highway,Rural,Major Collector,State Highway Agency,Not an Intersection
1,Alabama,2021,State Highway,Rural,Principal Arterial - Other,State Highway Agency,Four-Way Intersection
1,Alabama,2021,County Road,Rural,Minor Collector,County Highway Agency,Not an Intersection
1,Alabama,2021,U.S. Highway,Urban,Principal Arterial - Other,State Highway Agency,Four-Way Intersection
1,Alabama,2021,County Road,Urban,Local,County Highway Agency,Not an Intersection
1,Alabama,2021,County Road,Rural,Major Collector,County Highway Agency,Not an Intersection
1,Alabama,2021,County Road,Rural,Major Collector,County Highway Agency,Not an Intersection
